Date,Open,High,Low,Close,Adj. Close,Change,Volume
2010-06-09,13.68000,13.68000,13.68000,13.68000,13.68000,-1.51%,0
2010-06-10,14.03000,14.03000,14.03000,14.03000,14.03000,2.56%,0
2010-06-11,14.11000,14.11000,14.11000,14.11000,14.11000,0.57%,0
2010-06-14,13.87000,13.87000,13.87000,13.87000,13.87000,-1.70%,0
2010-06-15,14.16000,14.16000,14.16000,14.16000,14.16000,2.09%,0
2010-06-16,14.15000,14.15000,14.15000,14.15000,14.15000,-0.07%,0
2010-06-17,14.12000,14.12000,14.12000,14.12000,14.12000,-0.21%,0
2010-06-18,14.11000,14.11000,14.11000,14.11000,14.11000,-0.07%,0
2010-06-21,14.06000,14.06000,14.06000,14.06000,14.06000,-0.35%,0
2010-06-22,13.94000,13.94000,13.94000,13.94000,13.94000,-0.85%,0
2010-06-23,13.95000,13.95000,13.95000,13.95000,13.95000,0.07%,0
2010-06-24,13.63000,13.63000,13.63000,13.63000,13.63000,-2.29%,0
2010-06-25,13.69000,13.69000,13.69000,13.69000,13.69000,0.44%,0
2010-06-28,13.62000,13.62000,13.62000,13.62000,13.62000,-0.51%,0
2010-06-29,13.37000,13.37000,13.37000,13.37000,13.37000,-1.84%,0
2010-06-30,13.16000,13.16000,13.16000,13.16000,13.16000,-1.57%,0
2010-07-01,12.90000,12.90000,12.90000,12.90000,12.90000,-1.98%,0
2010-07-02,12.69000,12.69000,12.69000,12.69000,12.69000,-1.63%,0
2010-07-05,12.76000,12.76000,12.76000,12.76000,12.76000,0.55%,0
2010-07-06,12.71000,12.71000,12.71000,12.71000,12.71000,-0.39%,0
2010-07-07,13.13000,13.13000,13.13000,13.13000,13.13000,3.30%,0
2010-07-08,13.20000,13.20000,13.20000,13.20000,13.20000,0.53%,0
2010-07-09,13.35000,13.35000,13.35000,13.35000,13.35000,1.14%,0
2010-07-12,13.41000,13.41000,13.41000,13.41000,13.41000,0.45%,0
2010-07-13,13.52000,13.52000,13.52000,13.52000,13.52000,0.82%,0
2010-07-14,13.46000,13.46000,13.46000,13.46000,13.46000,-0.44%,0
2010-07-15,13.30000,13.30000,13.30000,13.30000,13.30000,-1.19%,0
2010-07-16,12.86000,12.86000,12.86000,12.86000,12.86000,-3.31%,0
2010-07-19,12.92000,12.92000,12.92000,12.92000,12.92000,0.47%,0
2010-07-20,13.16000,13.16000,13.16000,13.16000,13.16000,1.86%,0
2010-07-21,13.05000,13.05000,13.05000,13.05000,13.05000,-0.84%,0
2010-07-22,13.26000,13.26000,13.26000,13.26000,13.26000,1.61%,0
2010-07-23,13.46000,13.46000,13.46000,13.46000,13.46000,1.51%,0
2010-07-26,13.49000,13.49000,13.49000,13.49000,13.49000,0.22%,0
2010-07-27,13.42000,13.42000,13.42000,13.42000,13.42000,-0.52%,0
2010-07-28,13.30000,13.30000,13.30000,13.30000,13.30000,-0.89%,0
2010-07-29,13.17000,13.17000,13.17000,13.17000,13.17000,-0.98%,0
2010-07-30,13.23000,13.23000,13.23000,13.23000,13.23000,0.46%,0
2010-08-02,13.36000,13.36000,13.36000,13.36000,13.36000,0.98%,0
2010-08-03,13.26000,13.26000,13.26000,13.26000,13.26000,-0.75%,0
2010-08-04,13.42000,13.42000,13.42000,13.42000,13.42000,1.21%,0
2010-08-05,13.39000,13.39000,13.39000,13.39000,13.39000,-0.22%,0
2010-08-06,13.21000,13.21000,13.21000,13.21000,13.21000,-1.34%,0
2010-08-09,13.33000,13.33000,13.33000,13.33000,13.33000,0.91%,0
2010-08-10,13.41000,13.41000,13.41000,13.41000,13.41000,0.60%,0
2010-08-11,13.22000,13.22000,13.22000,13.22000,13.22000,-1.42%,0
