Date,Open,High,Low,Close,Adj. Close,Change,Volume
1980-12-15,0.12223,0.12223,0.12165,0.12165,0.09359,-5.22%,175884975
1980-12-16,0.11326,0.11326,0.11272,0.11272,0.08672,-7.34%,105728105
1980-12-17,0.11549,0.11607,0.11549,0.11549,0.08885,2.46%,86441686
1980-12-18,0.11888,0.11942,0.11888,0.11888,0.09146,2.94%,73449673
1980-12-19,0.12612,0.12670,0.12612,0.12612,0.09702,6.09%,48630448
1980-12-22,0.13228,0.13281,0.13228,0.13228,0.10176,4.88%,37363237
1980-12-23,0.13786,0.13839,0.13786,0.13786,0.10605,4.22%,46950446
1980-12-24,0.14509,0.14567,0.14509,0.14509,0.11162,5.24%,48003248
1980-12-26,0.15848,0.15902,0.15848,0.15848,0.12192,9.23%,55574455
1980-12-29,0.16071,0.16129,0.16071,0.16071,0.12364,1.41%,93161693
1980-12-30,0.15737,0.15737,0.15679,0.15679,0.12062,-2.44%,68880068
1980-12-31,0.15290,0.15290,0.15237,0.15237,0.11722,-2.82%,35750435
1981-01-02,0.15402,0.15513,0.15402,0.15402,0.11849,1.08%,21660821
1981-01-05,0.15121,0.15121,0.15067,0.15067,0.11591,-2.18%,35728035
1981-01-06,0.14451,0.14451,0.14397,0.14397,0.11076,-4.45%,45158445
1981-01-07,0.13839,0.13839,0.13786,0.13786,0.10605,-4.24%,55686455
1981-01-08,0.13558,0.13558,0.13504,0.13504,0.10389,-2.05%,39827239
1981-01-09,0.14232,0.14286,0.14232,0.14232,0.10949,5.39%,21504021
1981-01-12,0.14232,0.14232,0.14116,0.14116,0.10860,-0.82%,23699223
1981-01-13,0.13674,0.13674,0.13616,0.13616,0.10475,-3.54%,23049623
1981-01-14,0.13674,0.13728,0.13674,0.13674,0.10520,0.43%,14291214
1981-01-15,0.13951,0.14062,0.13951,0.13951,0.10733,2.03%,14067214
1981-01-16,0.13893,0.13893,0.13839,0.13839,0.10647,-0.80%,13395213
1981-01-19,0.14674,0.14732,0.14674,0.14674,0.11289,6.03%,41574441
1981-01-20,0.14286,0.14286,0.14232,0.14232,0.10949,-3.01%,30083230
1981-01-21,0.14509,0.14621,0.14509,0.14509,0.11162,1.95%,15904015
1981-01-22,0.14674,0.14790,0.14674,0.14674,0.11289,1.14%,35548835
1981-01-23,0.14674,0.14732,0.14621,0.14621,0.11248,-0.36%,11222411
1981-01-26,0.14451,0.14451,0.14397,0.14397,0.11076,-1.53%,24640024
1981-01-27,0.14397,0.14397,0.14286,0.14286,0.10990,-0.77%,23699223
1981-01-28,0.13893,0.13893,0.13839,0.13839,0.10647,-3.13%,28156828
1981-01-29,0.13393,0.13393,0.13335,0.13335,0.10259,-3.64%,43904043
1981-01-30,0.12723,0.12723,0.12612,0.12612,0.09702,-5.42%,46188846
1981-02-02,0.11942,0.11942,0.11888,0.11888,0.09146,-5.74%,23766423
1981-02-03,0.12330,0.12388,0.12330,0.12330,0.09486,3.72%,19152019
1981-02-04,0.12777,0.12835,0.12777,0.12777,0.09829,3.63%,27865627
1981-02-05,0.12777,0.12888,0.12777,0.12777,0.09829,,7929607
1981-02-06,0.12835,0.12888,0.12835,0.12835,0.09874,0.45%,13865613
1981-02-09,0.12277,0.12277,0.12165,0.12165,0.09359,-5.22%,16755216
1981-02-10,0.12165,0.12223,0.12165,0.12165,0.09359,,18345618
1981-02-11,0.11830,0.11830,0.11772,0.11772,0.09057,-3.23%,13843213
1981-02-12,0.11719,0.11719,0.11665,0.11665,0.08974,-0.91%,14560014
1981-02-13,0.11496,0.11496,0.11384,0.11384,0.08758,-2.41%,11155211
1981-02-17,0.11665,0.11719,0.11665,0.11665,0.08974,2.47%,12275212
1981-02-18,0.12165,0.12277,0.12165,0.12165,0.09359,4.29%,19241619
1981-02-19,0.11496,0.11496,0.11442,0.11442,0.08802,-5.94%,22310422
1981-02-20,0.10884,0.10884,0.10826,0.10826,0.08328,-5.38%,24371224
1981-02-23,0.10991,0.11049,0.10991,0.10991,0.08456,1.52%,14112014
1981-02-24,0.10714,0.10714,0.10603,0.10603,0.08157,-3.53%,16979216
1981-02-25,0.11272,0.11326,0.11272,0.11272,0.08672,6.31%,19488019
1981-02-26,0.11442,0.11496,0.11442,0.11442,0.08802,1.51%,10841610
1981-02-27,0.11830,0.11942,0.11830,0.11830,0.09101,3.39%,14761614
1981-03-02,0.11888,0.11942,0.11888,0.11888,0.09146,0.49%,11760011
1981-03-03,0.11772,0.11772,0.11719,0.11719,0.09015,-1.42%,16172816
1981-03-04,0.11665,0.11665,0.11607,0.11607,0.08929,-0.96%,13708813
1981-03-05,0.11607,0.11607,0.11549,0.11549,0.08885,-0.50%,5376005
1981-03-06,0.11549,0.11549,0.11442,0.11442,0.08802,-0.93%,11603211
1981-03-09,0.10603,0.10603,0.10549,0.10549,0.08116,-7.80%,15321615
1981-03-10,0.10103,0.10103,0.10045,0.10045,0.07727,-4.78%,28380828
1981-03-11,0.09763,0.09763,0.09652,0.09652,0.07425,-3.91%,29859229
1981-03-12,0.10045,0.10103,0.10045,0.10045,0.07727,4.07%,59248059
1981-03-13,0.09987,0.09987,0.09933,0.09933,0.07642,-1.11%,231302631
1981-03-16,0.10326,0.10433,0.10326,0.10326,0.07944,3.96%,37228837
1981-03-17,0.10826,0.10937,0.10826,0.10826,0.08328,4.84%,43747243
1981-03-18,0.11496,0.11607,0.11496,0.11496,0.08844,6.19%,36937636
1981-03-19,0.11442,0.11442,0.11384,0.11384,0.08758,-0.97%,37811237
1981-03-20,0.11496,0.11607,0.11496,0.11496,0.08844,0.98%,14604814
1981-03-23,0.11942,0.12054,0.11942,0.11942,0.09187,3.88%,22019222
1981-03-24,0.11942,0.11942,0.11888,0.11888,0.09146,-0.45%,28156828
1981-03-25,0.11772,0.11772,0.11665,0.11665,0.08974,-1.88%,7056007
1981-03-26,0.11496,0.11496,0.11442,0.11442,0.08802,-1.91%,12275212
1981-03-27,0.11107,0.11107,0.11049,0.11049,0.08500,-3.43%,12252812
1981-03-30,0.11049,0.11161,0.11049,0.11049,0.08500,,9900809
1981-03-31,0.11049,0.11049,0.10937,0.10937,0.08414,-1.01%,15993615
1981-04-01,0.10884,0.10884,0.10826,0.10826,0.08328,-1.01%,34070434
1981-04-02,0.11772,0.11830,0.11772,0.11772,0.09057,8.74%,31404831
1981-04-03,0.11830,0.11888,0.11830,0.11830,0.09101,0.49%,16486416
1981-04-06,0.11665,0.11665,0.11607,0.11607,0.08929,-1.89%,22803222
1981-04-07,0.11549,0.11549,0.11496,0.11496,0.08844,-0.96%,10684810
1981-04-08,0.12054,0.12165,0.12054,0.12054,0.09273,4.85%,21952021
1981-04-09,0.12277,0.12330,0.12277,0.12277,0.09445,1.85%,12499212
1981-04-10,0.12446,0.12500,0.12446,0.12446,0.09575,1.38%,33465633
1981-04-13,0.12446,0.12500,0.12446,0.12446,0.09575,,16060816
1981-04-14,0.12446,0.12500,0.12446,0.12446,0.09575,,6652806
1981-04-15,0.11888,0.11888,0.11830,0.11830,0.09101,-4.95%,34048034
1981-04-16,0.11214,0.11214,0.11161,0.11161,0.08586,-5.66%,23878423
1981-04-20,0.11496,0.11549,0.11496,0.11496,0.08844,3.00%,35347235
1981-04-21,0.12277,0.12330,0.12277,0.12277,0.09445,6.79%,28537628
1981-04-22,0.12723,0.12777,0.12723,0.12723,0.09788,3.63%,18995218
1981-04-23,0.13058,0.13112,0.13058,0.13058,0.10046,2.63%,58016058
1981-04-24,0.13058,0.13058,0.12946,0.12946,0.09960,-0.86%,35056035
1981-04-27,0.12888,0.12888,0.12835,0.12835,0.09874,-0.86%,38528038
1981-04-28,0.12670,0.12670,0.12612,0.12612,0.09702,-1.74%,32188832
1981-04-29,0.12500,0.12500,0.12446,0.12446,0.09575,-1.32%,13641613
1981-04-30,0.12670,0.12777,0.12670,0.12670,0.09747,1.80%,12611212
1981-05-01,0.12670,0.12777,0.12670,0.12670,0.09747,,16553616
1981-05-04,0.12670,0.12670,0.12612,0.12612,0.09702,-0.46%,14448014
1981-05-05,0.12612,0.12612,0.12554,0.12554,0.09658,-0.46%,17539217
1981-05-06,0.12277,0.12277,0.12223,0.12223,0.09403,-2.64%,18950418
1981-05-07,0.12388,0.12446,0.12388,0.12388,0.09530,1.35%,9363209
1981-05-08,0.12500,0.12554,0.12500,0.12500,0.09616,0.90%,7907207
1981-05-11,0.12277,0.12277,0.12223,0.12223,0.09403,-2.22%,11939211
1981-05-12,0.12223,0.12388,0.12223,0.12223,0.09403,,4256004
1981-05-13,0.12223,0.12330,0.12165,0.12165,0.09359,-0.47%,4905604
1981-05-14,0.12112,0.12112,0.11996,0.11996,0.09228,-1.39%,4928004
1981-05-15,0.12277,0.12446,0.12277,0.12277,0.09445,2.34%,4905604
1981-05-18,0.12500,0.12612,0.12500,0.12500,0.09616,1.82%,4166404
1981-05-19,0.12330,0.12330,0.12277,0.12277,0.09445,-1.78%,25424025
1981-05-20,0.12670,0.12777,0.12670,0.12670,0.09747,3.20%,13283213
1981-05-21,0.13393,0.13451,0.13393,0.13393,0.10303,5.71%,32211232
1981-05-22,0.14009,0.14116,0.14009,0.14009,0.10777,4.60%,31427231
1981-05-26,0.14009,0.14009,0.13951,0.13951,0.10733,-0.41%,85344085
1981-05-27,0.14732,0.14790,0.14732,0.14732,0.11334,5.60%,149497749
1981-05-28,0.14732,0.14790,0.14732,0.14732,0.11334,,73987273
1981-05-29,0.14790,0.14844,0.14790,0.14790,0.11378,0.39%,59382459
1981-06-01,0.14790,0.14844,0.14790,0.14790,0.11378,,51251251
1981-06-02,0.14116,0.14116,0.14062,0.14062,0.10818,-4.92%,40432040
1981-06-03,0.14062,0.14174,0.14062,0.14062,0.10818,,39446439
1981-06-04,0.14339,0.14397,0.14339,0.14339,0.11031,1.97%,56067256
1981-06-05,0.14174,0.14174,0.14116,0.14116,0.10860,-1.56%,57680057
1981-06-08,0.13674,0.13674,0.13616,0.13616,0.10475,-3.54%,93497693
1981-06-09,0.13893,0.13951,0.13893,0.13893,0.10688,2.03%,119593719
1981-06-10,0.14062,0.14232,0.14062,0.14062,0.10818,1.22%,25222425
1981-06-11,0.14674,0.14732,0.14674,0.14674,0.11289,4.35%,38976038
1981-06-12,0.14567,0.14567,0.14509,0.14509,0.11162,-1.12%,25804825
1981-06-15,0.14509,0.14509,0.14451,0.14451,0.11117,-0.40%,143763343
1981-06-16,0.14232,0.14232,0.14174,0.14174,0.10904,-1.92%,37251237
1981-06-17,0.14009,0.14009,0.13951,0.13951,0.10733,-1.57%,27574427
1981-06-18,0.13951,0.14009,0.13893,0.13893,0.10688,-0.42%,23049623
1981-06-19,0.13558,0.13558,0.13504,0.13504,0.10389,-2.80%,27507227
1981-06-22,0.13058,0.13058,0.13004,0.13004,0.10004,-3.70%,10841610
1981-06-23,0.13228,0.13335,0.13228,0.13228,0.10176,1.72%,15030415
1981-06-24,0.13004,0.13004,0.12888,0.12888,0.09915,-2.57%,23027223
1981-06-25,0.13170,0.13228,0.13170,0.13170,0.10132,2.19%,24259224
1981-06-26,0.13112,0.13112,0.13004,0.13004,0.10004,-1.26%,23788823
1981-06-29,0.12670,0.12670,0.12554,0.12554,0.09658,-3.46%,10595210
1981-06-30,0.11665,0.11665,0.11607,0.11607,0.08929,-7.54%,35907235
1981-07-01,0.11549,0.11549,0.11496,0.11496,0.08844,-0.96%,170464170
1981-07-02,0.11496,0.11549,0.11496,0.11496,0.08844,,30284830
1981-07-06,0.11214,0.11214,0.11107,0.11107,0.08545,-3.38%,16531216
1981-07-07,0.11214,0.11326,0.11214,0.11214,0.08627,0.96%,15836815
1981-07-08,0.11665,0.11719,0.11665,0.11665,0.08974,4.02%,16620816
1981-07-09,0.10826,0.10826,0.10768,0.10768,0.08284,-7.69%,32883232
1981-07-10,0.09987,0.09987,0.09933,0.09933,0.07642,-7.75%,55171255
1981-07-13,0.10156,0.10210,0.10156,0.10156,0.07813,2.25%,45740845
1981-07-14,0.10603,0.10714,0.10603,0.10603,0.08157,4.40%,19779219
1981-07-15,0.10884,0.10937,0.10884,0.10884,0.08373,2.65%,10953610
1981-07-16,0.11161,0.11272,0.11161,0.11161,0.08586,2.55%,15232015
1981-07-17,0.11549,0.11607,0.11549,0.11549,0.08885,3.48%,19824019
1981-07-20,0.10826,0.10826,0.10768,0.10768,0.08284,-6.76%,23654423
1981-07-21,0.10768,0.10768,0.10714,0.10714,0.08243,-0.50%,31942431
1981-07-22,0.10210,0.10210,0.10103,0.10103,0.07772,-5.70%,22668822
