Date,Open,High,Low,Close,Adj. Close,Change,Volume
2023-04-14,9.70000,9.70000,6.30000,7.03000,7.03000,-29.70%,554703
2023-04-17,6.39000,7.83000,6.39000,6.90000,6.90000,-1.85%,201507
2023-04-18,6.62000,7.70000,6.20000,6.70000,6.70000,-2.90%,241378
2023-04-19,6.68000,7.10000,6.24000,6.41000,6.41000,-4.33%,80959
2023-04-20,6.20000,6.32000,5.70000,6.15000,6.15000,-4.06%,194657
2023-04-21,5.87000,7.48000,5.87000,6.68000,6.68000,8.62%,181762
2023-04-24,6.60000,7.40000,6.60000,6.92000,6.92000,3.59%,55888
2023-04-25,6.78000,7.22000,6.60000,6.92000,6.92000,,66938
2023-04-26,6.95000,8.16000,6.95000,7.70500,7.70500,11.34%,83186
2023-04-27,7.41000,7.79000,7.24000,7.60000,7.60000,-1.36%,27247
2023-04-28,7.65000,7.78000,7.14000,7.50000,7.50000,-1.32%,85493
2023-05-01,7.35000,7.62000,7.20000,7.34500,7.34500,-2.07%,23906
2023-05-02,7.07000,7.36000,7.00000,7.19000,7.19000,-2.11%,28389
2023-05-03,7.57000,7.57000,6.80000,6.81000,6.81000,-5.29%,27522
2023-05-04,6.90000,6.90000,6.10000,6.25000,6.25000,-8.22%,81024
2023-05-05,6.50000,6.70000,6.00000,6.27000,6.27000,0.32%,68429
2023-05-08,6.20000,6.20000,5.70000,5.79000,5.79000,-7.66%,70648
2023-05-09,5.72000,6.18000,5.72000,5.93000,5.93000,2.42%,31719
2023-05-10,6.04200,6.43000,6.02000,6.06400,6.06400,2.26%,11538
2023-05-11,6.00000,6.02900,5.50000,5.51000,5.51000,-9.14%,69623
2023-05-12,5.59800,6.12000,5.51000,5.62000,5.62000,2.00%,65512
2023-05-15,5.69000,5.84000,5.30000,5.55000,5.55000,-1.25%,49317
2023-05-16,5.35000,5.66500,5.20000,5.46000,5.46000,-1.62%,26657
2023-05-17,5.31000,5.64000,5.26000,5.42000,5.42000,-0.73%,16241
2023-05-18,5.42000,5.49900,5.06000,5.06000,5.06000,-6.64%,32228
2023-05-19,5.36000,5.36000,4.63000,4.81000,4.81000,-4.94%,90759
