Date,Open,High,Low,Close,Adj. Close,Change,Volume
1986-03-13,0.06481,0.06559,0.06481,0.06481,0.05197,2.43%,125290800
1986-03-14,0.06713,0.06790,0.06713,0.06713,0.05383,3.58%,57866400
1986-03-17,0.06636,0.06636,0.06559,0.06559,0.05259,-2.29%,28285200
1986-03-18,0.06481,0.06481,0.06404,0.06404,0.05135,-2.36%,32335200
1986-03-19,0.06404,0.06404,0.06250,0.06250,0.05011,-2.40%,22712400
1986-03-20,0.06250,0.06327,0.06250,0.06250,0.05011,,17787600
1986-03-21,0.06173,0.06173,0.06019,0.06019,0.04826,-3.70%,16232400
1986-03-24,0.06019,0.06096,0.06019,0.06019,0.04826,,20736000
1986-03-25,0.06019,0.06096,0.06019,0.06019,0.04826,,21675600
1986-03-26,0.06096,0.06250,0.06096,0.06096,0.04888,1.28%,23328000
1986-03-27,0.06327,0.06481,0.06327,0.06327,0.05073,3.79%,21513600
1986-03-31,0.06404,0.06481,0.06404,0.06404,0.05135,1.22%,9882000
1986-04-01,0.06173,0.06173,0.06096,0.06096,0.04888,-4.81%,20314800
1986-04-02,0.06096,0.06173,0.06019,0.06019,0.04826,-1.26%,12960000
1986-04-03,0.06250,0.06404,0.06250,0.06250,0.05011,3.84%,11955600
1986-04-04,0.06250,0.06327,0.06173,0.06173,0.04950,-1.23%,10659600
1986-04-07,0.06250,0.06327,0.06250,0.06250,0.05011,1.25%,9007200
1986-04-08,0.06250,0.06404,0.06250,0.06250,0.05011,,15001200
1986-04-09,0.06250,0.06327,0.06250,0.06250,0.05011,,8942400
1986-04-10,0.06250,0.06327,0.06250,0.06250,0.05011,,9428400
1986-04-11,0.06404,0.06481,0.06404,0.06404,0.05135,2.46%,18273600
1986-04-14,0.06404,0.06481,0.06404,0.06404,0.05135,,46785600
1986-04-15,0.06404,0.06481,0.06404,0.06481,0.05197,1.20%,12020400
1986-04-16,0.06481,0.06790,0.06404,0.06790,0.05445,4.77%,22550400
1986-04-17,0.06790,0.07407,0.06790,0.07407,0.05939,9.09%,19699200
1986-04-18,0.07407,0.08179,0.07407,0.08025,0.06434,8.34%,27799200
1986-04-21,0.08025,0.08910,0.07948,0.08796,0.07053,9.61%,33534000
1986-04-22,0.08796,0.08796,0.08256,0.08333,0.06682,-5.26%,38264400
