Date,Open,High,Low,Close,Adj. Close,Change,Volume
2010-06-30,1.71900,2.02800,1.55300,1.58900,1.58900,-0.25%,257806500
2010-07-01,1.66700,1.72800,1.35100,1.46400,1.46400,-7.87%,123282000
2010-07-02,1.53300,1.54000,1.24700,1.28000,1.28000,-12.57%,77097000
2010-07-06,1.33300,1.33300,1.05500,1.07400,1.07400,-16.09%,103003500
2010-07-07,1.09300,1.10900,0.99867,1.05300,1.05300,-1.96%,103825500
2010-07-08,1.07600,1.16800,1.03800,1.16400,1.16400,10.54%,115671000
2010-07-09,1.17200,1.19300,1.10300,1.16000,1.16000,-0.34%,60759000
2010-07-12,1.19700,1.20500,1.13300,1.13700,1.13700,-1.98%,33037500
2010-07-13,1.16000,1.24300,1.12700,1.20900,1.20900,6.33%,40201500
2010-07-14,1.19600,1.34300,1.18400,1.32300,1.32300,9.43%,62928000
2010-07-15,1.32900,1.43300,1.26700,1.32600,1.32600,0.23%,56097000
2010-07-16,1.38000,1.42000,1.33700,1.37600,1.37600,3.77%,39319500
2010-07-19,1.42500,1.48300,1.39500,1.46100,1.46100,6.18%,37297500
2010-07-20,1.45700,1.45700,1.33700,1.35300,1.35300,-7.39%,27379500
2010-07-21,1.37700,1.39300,1.30000,1.34800,1.34800,-0.37%,18787500
2010-07-22,1.36700,1.41700,1.35800,1.40000,1.40000,3.86%,14367000
2010-07-23,1.41300,1.43700,1.40400,1.41900,1.41900,1.36%,9804000
2010-07-26,1.43300,1.43300,1.35300,1.39700,1.39700,-1.55%,13833000
2010-07-27,1.39400,1.41200,1.35100,1.37000,1.37000,-1.93%,9295500
2010-07-28,1.37000,1.39300,1.36700,1.38100,1.38100,0.80%,7008000
2010-07-29,1.38500,1.39200,1.33300,1.35700,1.35700,-1.74%,9240000
2010-07-30,1.34700,1.36300,1.30300,1.32900,1.32900,-2.06%,6403500
2010-08-02,1.36700,1.39800,1.35600,1.39500,1.39500,4.97%,10771500
2010-08-03,1.40000,1.46300,1.38800,1.46300,1.46300,4.87%,18457500
