Date,Open,High,Low,Close,Adj. Close,Change,Volume
1970-01-05,1.93800,1.96900,1.93300,1.96900,0.52846,1.60%,1881600
1970-01-06,1.96900,1.97300,1.94500,1.96500,0.52737,-0.20%,1232000
1970-01-07,1.96500,1.96500,1.94900,1.95300,0.52426,-0.61%,918400
1970-01-08,1.95300,1.96900,1.94500,1.95700,0.52527,0.20%,1075200
1970-01-09,1.95700,1.96500,1.94900,1.96500,0.52737,0.41%,1072000
1970-01-12,1.96500,1.96900,1.94900,1.94900,0.52326,-0.81%,892800
1970-01-13,1.94900,1.96100,1.94200,1.94200,0.52116,-0.36%,1248000
1970-01-14,1.94200,1.94500,1.93300,1.94500,0.52216,0.15%,1328000
1970-01-15,1.94500,1.94500,1.92200,1.92600,0.51688,-0.98%,1206400
1970-01-16,1.92600,1.93800,1.92600,1.93300,0.51898,0.36%,1100800
1970-01-19,1.93300,1.93800,1.92200,1.93300,0.51898,,700800
1970-01-20,1.93300,1.94500,1.92600,1.92600,0.51688,-0.36%,1241600
1970-01-21,1.92600,1.93800,1.92200,1.92200,0.51587,-0.21%,841600
1970-01-22,1.92200,1.92600,1.90600,1.91000,0.51277,-0.62%,1382400
1970-01-23,1.91000,1.91000,1.87900,1.88300,0.50539,-1.41%,1878400
1970-01-26,1.88300,1.89100,1.87500,1.88700,0.50648,0.21%,1043200
1970-01-27,1.87900,1.87900,1.85900,1.87500,0.50329,-0.64%,2054400
1970-01-28,1.87500,1.87500,1.81300,1.81700,0.48761,-3.09%,1488000
1970-01-29,1.80100,1.80100,1.77700,1.77700,0.47704,-2.20%,1548800
1970-01-30,1.77300,1.77300,1.75000,1.76200,0.47293,-0.84%,2172800
1970-02-02,1.76200,1.76200,1.75000,1.75000,0.46974,-0.68%,2755200
1970-02-03,1.75000,1.79700,1.74200,1.78500,0.47922,2.00%,2572800
1970-02-04,1.78500,1.78900,1.77300,1.78100,0.47813,-0.22%,2003200
1970-02-05,1.78100,1.78100,1.77300,1.77700,0.47704,-0.22%,1676800
1970-02-06,1.75400,1.75400,1.73100,1.73400,0.46554,-2.42%,1635200
1970-02-09,1.73400,1.74200,1.72300,1.72700,0.46345,-0.40%,1398400
1970-02-10,1.71900,1.71900,1.64800,1.66400,0.44667,-3.65%,2777600
1970-02-11,1.66400,1.67600,1.64100,1.67600,0.44977,0.72%,2316800
1970-02-12,1.67200,1.67200,1.60900,1.63300,0.43828,-2.57%,2611200
1970-02-13,1.63300,1.63700,1.60900,1.62500,0.43619,-0.49%,2380800
1970-02-17,1.57400,1.57400,1.55800,1.56700,0.42050,-3.57%,3078400
1970-02-18,1.58600,1.66400,1.58600,1.65200,0.44348,5.42%,4438400
1970-02-19,1.67600,1.70700,1.67600,1.67600,0.44977,1.45%,3376000
1970-02-20,1.67600,1.72700,1.65600,1.72300,0.46244,2.80%,4480000
1970-02-24,1.72300,1.77300,1.71100,1.71500,0.46026,-0.46%,3750400
1970-02-25,1.71500,1.74600,1.65600,1.74200,0.46764,1.57%,4771200
1970-02-26,1.72700,1.72700,1.68300,1.69200,0.45405,-2.87%,3705600
1970-02-27,1.69200,1.71500,1.68800,1.68800,0.45296,-0.24%,4137600
1970-03-02,1.68800,1.71500,1.67200,1.67200,0.44877,-0.95%,5107200
1970-03-03,1.67200,1.68000,1.65200,1.66400,0.44667,-0.48%,5152000
1970-03-04,1.66400,1.68000,1.66400,1.67200,0.44877,0.48%,4838400
1970-03-05,1.67200,1.69900,1.67200,1.68800,0.45296,0.96%,4912000
1970-03-06,1.68000,1.68000,1.66000,1.67200,0.44877,-0.95%,4780800
1970-03-09,1.66800,1.66800,1.65200,1.65200,0.44348,-1.20%,7699200
1970-03-10,1.65200,1.69200,1.64100,1.68300,0.45187,1.88%,5878400
1970-03-11,1.69900,1.71900,1.69900,1.71500,0.46026,1.90%,3638400
1970-03-12,1.71500,1.71500,1.68800,1.70700,0.45816,-0.47%,2841600
1970-03-13,1.70700,1.70700,1.69200,1.70700,0.45816,,2582400
1970-03-16,1.70700,1.70700,1.68000,1.70300,0.45716,-0.23%,2028800
1970-03-17,1.70300,1.70700,1.68800,1.70300,0.45716,,1520000
1970-03-18,1.70300,1.74200,1.70300,1.71900,0.46135,0.94%,1958400
1970-03-19,1.71900,1.73400,1.71500,1.71900,0.46135,,1904000
1970-03-20,1.71900,1.72700,1.71100,1.72700,0.46345,0.47%,1257600
1970-03-23,1.72700,1.73100,1.71100,1.72300,0.46244,-0.23%,931200
1970-03-24,1.72700,1.75400,1.72700,1.75000,0.46974,1.57%,950400
